rank,score,deferred,chapel,requirements,electives,credits,free_days,early1,lunch_fail,late,runs,holes
1,21.795,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,YCE1253-01-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+1
2,21.065,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1002-05-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+1
3,21.065,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1002-05-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+1
4,20.065,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1002-05-00 YCK1998-03-00,18.0,월금,1,0,1,,1+3+1
5,20.065,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1002-05-00 YCK1998-03-00,18.0,월금,1,0,1,,1+3+1
6,19.92,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,YCH1605-01-00 BIZ1101-09-00,18.0,월금,1,0,1,,2+1+1
7,19.815,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-02-00,YCI1998-02-00 BIZ1101-09-00,18.0,월금,1,0,1,,2+1
8,19.815,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-02-00,YCI1998-02-00 BIZ1101-09-00,18.0,월금,1,0,1,,2+1
9,19.355,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,STA2102-04-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+1
10,19.355,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,STA2102-04-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+1
11,19.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,UCB1105-02-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+2
12,19.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,UCB1105-02-00 BIZ1101-09-00,18.0,월금,1,0,1,,1+1+2
13,19.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,ECO1002-06-00 BIZ1101-09-00,18.0,월금,1,0,1,,2+1+1
14,19.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,ECO1002-06-00 BIZ1101-09-00,18.0,월금,1,0,1,,2+1+1
15,18.92,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,YCH1605-01-00 YCK1998-03-00,18.0,월금,1,0,1,,2+3+1
16,18.815,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-02-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+3
17,18.815,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-02-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+3
18,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-02-00,YCI1901-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
19,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-02-00,YCI1901-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
20,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-02-00,YCI1901-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
21,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-02-00,UCD1101-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
22,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1805-02-00,UCD1101-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
23,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1401-02-00 UIC2151-14-00 UIC1806-02-00,UCD1101-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
24,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1805-02-00,UCD1101-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
25,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-02-00,UCD1101-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
26,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1805-02-00,UCD1101-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
27,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-02-00,UCD1101-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
28,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1401-02-00 UIC2151-14-00 UIC1806-02-00,UCD1101-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
29,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-02-00,UCD1101-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
30,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-02-00,YCI1901-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
31,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1805-02-00,UCD1101-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
32,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-02-00,YCI1901-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
33,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1806-02-00,YCI1901-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
34,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-02-00,UCD1101-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
35,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-02-00,UCD1101-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
36,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1806-02-00,YCI1901-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
37,18.49,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-02-00,YCI1901-01-00 YCK1998-03-00,18.0,월금,0,0,2,6,1+1
38,18.355,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,YCK1998-03-00 STA2102-04-00,18.0,월금,1,0,1,,1+3+1
39,18.355,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,YCK1998-03-00 STA2102-04-00,18.0,월금,1,0,1,,1+3+1
40,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1805-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
41,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1805-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
42,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1805-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
43,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-05-00 UIC1805-02-00,YCH1605-01-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
44,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1806-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
45,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-05-00 UIC1806-02-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
46,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1805-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
47,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1806-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
48,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-05-00 UIC1806-02-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
49,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1805-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
50,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1806-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
51,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1806-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
52,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1805-01-00,YCH1605-01-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
53,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1805-01-00,YCH1605-01-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
54,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,ECO1002-06-00 YCK1998-03-00,18.0,월금,1,0,1,,2+3+1
55,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1806-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
56,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1806-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
57,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1501-04-00 UIC2151-14-00 UIC1806-02-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
58,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-05-00 UIC1805-02-00,YCH1605-01-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
59,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+3+2
60,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+3+2
61,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,ECO1002-06-00 YCK1998-03-00,18.0,월금,1,0,1,,2+3+1
62,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1806-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
63,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1805-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
64,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-05-00 UIC1806-02-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
65,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
66,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1806-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
67,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1805-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
68,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
69,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
70,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1806-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
71,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-05-00 UIC1805-02-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
72,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-01-00,YCH1605-01-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
73,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1806-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
74,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1805-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
75,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1805-01-00,YCH1605-01-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
76,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,YCI1901-01-00 BIZ1101-09-00,18.0,월금,1,0,2,,2+1+1
77,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1806-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
78,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1806-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
79,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-05-00 UIC1805-02-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
80,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1501-04-00 UIC2151-14-00 UIC1806-02-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
81,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-01-00,YCH1605-01-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
82,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,YCI1901-01-00 BIZ1101-09-00,18.0,월금,1,0,2,,2+1+1
83,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
84,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1805-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
85,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1806-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
86,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1501-04-00 UIC2151-14-00 UIC1806-02-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
87,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
88,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1805-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
89,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1805-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
90,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
91,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1805-01-00,YCH1605-01-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
92,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-01-00,YCH1605-01-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
93,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-05-00 UIC1806-02-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
94,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1806-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
95,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1805-01-00,YCI1998-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
96,18.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-01-00,YCH1605-01-00 YCK1998-03-00,18.0,월금,1,0,1,,1+1+2
97,18.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1501-04-00 UIC2151-14-00 UIC1806-02-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,1+2+1
98,17.92,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,YCH1605-01-00 YCI1901-01-00,18.0,월금,1,0,2,,2+3+1
99,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1805-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+1+2
100,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+1+2
101,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+2+1
102,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1806-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+2+1
103,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+2+1
104,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+2+1
105,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+1+2
106,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+2+1
107,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1805-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+1+2
108,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+2+1
109,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1806-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+2+1
110,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+2+1
111,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1805-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+1+2
112,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+1+2
113,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1805-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+1+2
114,17.69,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-02-00,YCK1998-03-00 STA1002-04-00,18.0,월금,0,0,1,4,2+1+1+2
115,17.565,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-02-00,UCD1101-01-00 BIZ1101-09-00,18.0,월금,1,0,2,,1+1+1+2
116,17.565,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-02-00,UCD1101-01-00 BIZ1101-09-00,18.0,월금,1,0,2,,1+1+1+2
117,17.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1805-01-00,YCH1605-01-00 UCD1101-01-00,18.0,월수금,1,0,2,,1+1+2
118,17.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-01-00,YCH1605-01-00 UCD1101-01-00,18.0,월수금,1,0,2,,1+1+2
119,17.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1805-01-00,YCH1605-01-00 UCD1101-01-00,18.0,월수금,1,0,2,,1+1+2
120,17.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-01-00,YCH1605-01-00 UCD1101-01-00,18.0,월수금,1,0,2,,1+1+2
121,17.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,ECO1002-06-00 YCI1901-01-00,18.0,월금,1,0,2,,2+3+1
122,17.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1805-01-00,YCH1605-01-00 UCD1101-01-00,18.0,월수금,1,0,2,,1+1+2
123,17.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-01-00,YCH1605-01-00 UCD1101-01-00,18.0,월수금,1,0,2,,1+1+2
124,17.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-05-00 UIC1805-02-00,YCH1605-01-00 UCD1101-01-00,18.0,월수금,1,0,2,,1+1+2
125,17.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-05-00 UIC1805-02-00,YCH1605-01-00 UCD1101-01-00,18.0,월수금,1,0,2,,1+1+2
126,17.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,YCI1901-01-00 YCK1998-03-00,18.0,월금,1,0,2,,2+3+1
127,17.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1805-01-00,YCH1605-01-00 UCD1101-01-00,18.0,월수금,1,0,2,,1+1+2
128,17.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,ECO1002-06-00 YCI1901-01-00,18.0,월금,1,0,2,,2+3+1
129,17.19,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,YCI1901-01-00 YCK1998-03-00,18.0,월금,1,0,2,,2+3+1
130,17.19,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-01-00,YCH1605-01-00 UCD1101-01-00,18.0,월수금,1,0,2,,1+1+2
131,16.94,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1805-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+2
132,16.94,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+2
133,16.94,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1805-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+2
134,16.94,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-05-00 UIC1805-02-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+2
135,16.94,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1805-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+2
136,16.94,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1805-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+2
137,16.94,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1806-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+2
138,16.94,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+2
139,16.94,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1806-01-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+2
140,16.94,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-05-00 UIC1805-02-00,UCB1105-02-00 YCK1998-03-00,18.0,월금,1,0,1,,2+2
