rank,score,deferred,chapel,requirements,electives,elective_items,credits,free_days,early1,lunch_fail,late,runs,holes
1,46.64,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,3+2+2+1
2,45.732,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,0,1,4+4,1+2+1
3,45.732,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,0,1,4+4,1+1+2
4,44.557,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,1,1,4+5,2+1
5,39.715,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1101-06-00 STA2102-04-00,ECO1101 ME,18.0,월금,1,0,3,4,1+3+2+1
6,39.715,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1101-06-00 STA2102-04-00,ECO1101 ME,18.0,월금,1,0,3,4,1+3+2+1
7,39.69,Lang,-,QRM1001-01-00 UIC1561-01-00 ASP2033-01-00 UIC2151-14-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6,2+2
8,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+1+2
9,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+2+1
10,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+2+1
11,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+2+1
12,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+1+2
13,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-07-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+1+2
14,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+2+1
15,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+1+2
16,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+2+1
17,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+1+2
18,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+1+2
19,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+2+1
20,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+2+1
21,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+1+2
22,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-06-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+1+2
23,39.14,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+4,1+2+1
24,39.065,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,0,1,4+4,1+1+2
25,39.065,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,0,1,4+4,1+1+2
26,39.065,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,0,1,4+4,1+2+1
27,39.065,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,0,1,4+4,1+2+1
28,39.032,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1805-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,1,1,4+6,1+1
29,39.032,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1806-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,1,1,4+6,1+1
30,39.032,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1806-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,1,1,4+6,1+1
31,39.032,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-05-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,1,1,4+6,1+1
32,39.032,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1805-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,1,1,4+6,1+1
33,38.715,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,월금,1,0,3,4+4,1+3+2+1
34,38.715,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,월금,1,0,3,4+4,1+1+3+2
35,38.065,Lang,-,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,2+2+1
36,37.965,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,1,3,6+5,2+1
37,37.965,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,1,3,6+5,2+1
38,37.965,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-09-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,1,3,6+5,2+1
39,37.965,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,1,3,6+5,2+1
40,37.965,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,1,3,6+5,2+1
41,37.965,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,1,3,6+5,2+1
42,37.965,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,1,3,6+5,2+1
43,37.965,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-08-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,1,3,6+5,2+1
44,37.89,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,1,1,4+5,2+1
45,37.89,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,월금,1,1,1,4+5,2+1
46,37.765,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,2+2+2+1
47,37.765,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,2+2+2+1
48,37.54,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,월금,1,1,3,4+5,3+2+1
49,37.357,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,1,1,4+4+4,1+2
50,37.315,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-01-00,STA2102-04-00 QRM2004-01-00,ME ME,18.0,월금,2,0,1,,1+1+3+1
51,37.315,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-01-00,STA2102-04-00 QRM2004-01-00,ME ME,18.0,월금,2,0,1,,1+1+3+1
52,37.315,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-01-00,STA2102-04-00 QRM2004-01-00,ME ME,18.0,월금,2,0,1,,1+1+3+1
53,37.315,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-01-00,STA2102-04-00 QRM2004-01-00,ME ME,18.0,월금,2,0,1,,1+1+3+1
54,37.265,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,4+2+2+1
55,37.232,Lang,-,QRM1001-01-00 UIC1561-01-00 UIC1401-03-00 UIC2151-12-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월화,1,0,2,6,1+2
56,37.157,Lang,-,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,0,1,4+4,2+1
57,37.157,Lang,-,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,0,1,4+4,1+2
58,37.14,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+1+2+2+2
59,37.14,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+1+2+2+2
60,36.565,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+6,1+2
61,36.565,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+6,1+2
62,36.565,MR,YCA1006-01-00,UIC1561-01-00 UIC1401-02-00 UIC2151-14-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+6,1+2
63,36.565,MR,YCA1006-01-00,UIC1561-01-00 UIC1401-02-00 UIC2151-14-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,0,0,3,6+6,1+2
64,36.265,MR,YCA1006-01-00,UIC1561-01-00 UIC1401-02-00 UIC2151-12-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,2,6,1+2+2
65,36.265,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-12-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,2,6,1+2+2
66,36.265,MR,YCA1006-01-00,UIC1561-01-00 UIC1401-02-00 UIC2151-12-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,2,6,1+2+2
67,36.265,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 ASP2022-01-00 UIC2151-12-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,2,6+4,3+2+2
68,36.265,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-12-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,2,6,1+2+2
69,35.39,MR,YCA1006-02-00,UIC1561-01-00 ASP2022-01-00 UIC2151-12-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,2,6,2+2+2
70,35.39,MR,YCA1006-02-00,UIC1561-01-00 ASP2022-01-00 UIC2151-12-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,2,6,2+2+2
71,35.365,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-04-00 UIC2151-13-00 UIC1806-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,1,2,4+6,1+1
72,35.365,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-04-00 UIC2151-13-00 UIC1806-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,1,2,4+6,1+1
73,35.365,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-04-00 UIC2151-13-00 UIC1805-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,1,2,4+6,1+1
74,35.365,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-04-00 UIC2151-13-00 UIC1805-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,1,2,4+6,1+1
75,35.265,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,3+2+2
76,35.265,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-12-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,3+2+2
77,35.14,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-05-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,월금,1,1,3,4+6,1+1+2
78,35.14,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1805-01-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,월금,1,1,3,4+6,1+1+2
79,35.14,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1805-01-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,월금,1,1,3,4+6,1+1+2
80,35.14,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1806-01-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,월금,1,1,3,4+6,1+1+2
81,35.14,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC1806-01-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,월금,1,1,3,4+6,1+1+2
82,34.974,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-04-00 UIC2151-13-00 UIC1806-01-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,월금,1,1,3,4+6,1+1
83,34.974,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-04-00 UIC2151-13-00 UIC1805-01-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,월금,1,1,3,4+6,1+1
84,34.974,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-04-00 UIC2151-13-00 UIC1805-01-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,월금,1,1,3,4+6,1+1
85,34.974,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1551-04-00 UIC2151-13-00 UIC1806-01-00,ECO1101-06-00 QRM2004-01-00,ECO1101 ME,18.0,월금,1,1,3,4+6,1+1
86,34.89,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-04-00 UIC2151-12-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6+4,4+2+2
87,34.64,MR,YCA1006-02-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1
88,34.64,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1
89,34.64,MR,YCA1006-02-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1
90,34.64,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1
91,34.64,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1
92,34.64,MR,YCA1006-01-00,UIC1561-01-00 UIC1501-04-00 UIC2151-14-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1
93,34.64,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+3
94,34.64,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1
95,34.64,MR,YCA1006-02-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1
96,34.64,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+3
97,34.64,MR,YCA1006-02-00,UIC1561-01-00 UIC1251-02-00 UIC2151-14-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1
98,34.64,MR,YCA1006-01-00,UIC1561-01-00 UIC1501-04-00 UIC2151-14-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1
99,34.64,MR,YCA1006-02-00,UIC1561-01-00 UIC1501-04-00 UIC2151-14-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1
100,34.64,MR,YCA1006-02-00,UIC1561-01-00 UIC1501-04-00 UIC2151-14-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1
101,34.557,Lang,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 ASP2022-01-00 UIC2151-12-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,월금,1,0,0,4+5+4,1+2
102,34.015,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
103,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+1+1+2+2
104,34.015,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
105,34.015,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
106,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
107,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
108,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
109,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+1+1+2+2
110,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-09-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+1+1+2+2
111,34.015,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
112,34.015,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
113,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
114,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
115,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-05-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
116,34.015,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-05-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
117,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
118,34.015,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
119,34.015,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
120,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1805-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
121,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-05-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+1+1+2+2
122,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+1+1+2+2
123,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-05-00 UIC1805-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+1+1+2+2
124,34.015,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-07-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
125,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-04-00 UIC2151-08-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+1+1+2+2
126,34.015,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-01-00 UIC2151-05-00 UIC1806-02-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
127,34.015,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-06-00 UIC1806-01-00,ECO1101-06-00 STA2102-05-00,ECO1101 ME,18.0,월금,1,0,3,6,1+2+2+1+1
