rank,score,deferred,chapel,requirements,electives,elective_items,credits,free_days,early1,lunch_fail,late,runs,holes
4006,10.315,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,STA2102-05-00 PHI1002-01-00,ME FREE,18.0,월금,1,0,1,4+6,1+2
4007,10.3,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,STA2102-04-00 QRM2002-01-00,ME ME,18.0,월,2,0,1,,1+3+1
4008,10.3,MR,YCA1006-02-00,UIC1561-01-00 UIC1551-01-00 UIC2151-12-00 UIC1805-02-00,STA2102-04-00 QRM2002-01-00,ME ME,18.0,월,2,0,1,,1+3+1
4009,10.29,WCiv,-,QRM1001-01-00 UIC1501-05-00 UIC2151-12-00 UIC1806-01-00,ECO1101-05-00 STA2102-05-00,ECO1101 ME,18.0,월금,3,1,0,4+6,2+1
4010,10.29,WCiv,-,QRM1001-01-00 UIC1501-05-00 UIC2151-12-00 UIC1805-01-00,ECO1101-05-00 STA2102-05-00,ECO1101 ME,18.0,월금,3,1,0,4+6,2+1
4011,10.29,WCiv,-,QRM1001-01-00 UIC1501-05-00 UIC2151-12-00 UIC1806-01-00,ECO1101-05-00 STA2102-05-00,ECO1101 ME,18.0,월금,3,1,0,4+6,2+1
4012,10.29,WCiv,-,QRM1001-01-00 UIC1501-05-00 UIC2151-12-00 UIC1805-01-00,ECO1101-05-00 STA2102-05-00,ECO1101 ME,18.0,월금,3,1,0,4+6,2+1
4013,10.265,MR,YCA1006-01-00,UIC1561-01-00 ASP2022-01-00 UIC2151-12-00 UIC1806-01-00,ECO1104-06-00 BIZ1101-09-00,ME FREE,18.0,월금,2,0,0,,1+2+1+1
4014,10.265,MR,YCA1006-01-00,UIC1561-01-00 ASP2022-01-00 UIC2151-12-00 UIC1806-01-00,ECO1104-06-00 BIZ1101-09-00,ME FREE,18.0,월금,2,0,0,,1+2+1+1
4015,10.265,MR,YCA1006-02-00,UIC1561-01-00 ASP2022-01-00 UIC2151-12-00 UIC1806-01-00,ECO1104-06-00 BIZ1101-09-00,ME FREE,18.0,월금,2,0,0,,1+2+1+1
4016,10.265,MR,YCA1006-01-00,UIC1561-01-00 UIC1401-02-00 UIC2151-12-00 UIC1806-02-00,STA2102-05-00 SED2104-01-00,ME FREE,18.0,월금,1,0,2,4,1+2+1+1
4017,10.265,MR,YCA1006-01-00,UIC1561-01-00 UIC1401-02-00 UIC2151-12-00 UIC1806-02-00,STA2102-05-00 SED2104-01-00,ME FREE,18.0,월금,1,0,2,4,1+2+1+1
4018,10.265,MR,YCA1006-01-00,UIC1561-01-00 ASP2022-01-00 UIC2151-12-00 UIC1805-01-00,ECO1104-06-00 BIZ1101-09-00,ME FREE,18.0,월금,2,0,0,,1+2+1+1
4019,10.265,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-12-00 UIC1805-02-00,STA2102-05-00 SED2104-01-00,ME FREE,18.0,월금,1,0,2,4,1+2+1+1
4020,10.265,MR,YCA1006-01-00,UIC1561-01-00 UIC1251-02-00 UIC2151-12-00 UIC1805-02-00,STA2102-05-00 SED2104-01-00,ME FREE,18.0,월금,1,0,2,4,1+2+1+1
4021,10.265,MR,YCA1006-02-00,UIC1561-01-00 ASP2022-01-00 UIC2151-12-00 UIC1806-01-00,ECO1104-06-00 BIZ1101-09-00,ME FREE,18.0,월금,2,0,0,,1+2+1+1
4022,10.265,MR,YCA1006-02-00,UIC1561-01-00 ASP2022-01-00 UIC2151-12-00 UIC1805-01-00,ECO1104-06-00 BIZ1101-09-00,ME FREE,18.0,월금,2,0,0,,1+2+1+1
4023,10.265,MR,YCA1006-02-00,UIC1561-01-00 ASP2022-01-00 UIC2151-12-00 UIC1805-01-00,ECO1104-06-00 BIZ1101-09-00,ME FREE,18.0,월금,2,0,0,,1+2+1+1
4024,10.265,MR,YCA1006-01-00,UIC1561-01-00 ASP2022-01-00 UIC2151-12-00 UIC1805-01-00,ECO1104-06-00 BIZ1101-09-00,ME FREE,18.0,월금,2,0,0,,1+2+1+1
4025,10.258,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-12-00 UIC1805-01-00,STA2102-04-00 QRM2004-01-00,ME ME,18.0,금,2,0,0,4,2+1+2+1
4026,10.258,MR,YCA1006-01-00,UIC1561-01-00 UIC1501-02-00 UIC2151-12-00 UIC1805-01-00,STA2102-04-00 QRM2004-01-00,ME ME,18.0,금,2,0,0,4,2+1+2+1
4027,10.258,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1501-03-00 UIC2151-14-00 UIC1805-01-00,ECO1101-05-00 QRM2004-01-00,ECO1101 ME,18.0,금,1,1,1,4+6+5,1+1
4028,10.258,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1501-03-00 UIC2151-14-00 UIC1805-01-00,ECO1101-05-00 QRM2004-01-00,ECO1101 ME,18.0,금,1,1,1,4+6+5,1+1
4029,10.258,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1501-03-00 UIC2151-14-00 UIC1806-01-00,ECO1101-05-00 QRM2004-01-00,ECO1101 ME,18.0,금,1,1,1,4+6+5,1+1
4030,10.258,MR,YCA1006-01-00,UIC1561-01-00 UIC1501-02-00 UIC2151-12-00 UIC1806-01-00,STA2102-04-00 QRM2004-01-00,ME ME,18.0,금,2,0,0,4,2+1+2+1
4031,10.258,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-12-00 UIC1806-01-00,STA2102-04-00 QRM2004-01-00,ME ME,18.0,금,2,0,0,4,2+1+2+1
4032,10.258,MR,YCA1006-01-00,UIC1561-01-00 UIC1501-02-00 UIC2151-12-00 UIC1805-01-00,STA2102-04-00 QRM2004-01-00,ME ME,18.0,금,2,0,0,4,2+1+2+1
4033,10.258,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-12-00 UIC1805-01-00,STA2102-04-00 QRM2004-01-00,ME ME,18.0,금,2,0,0,4,2+1+2+1
4034,10.258,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-12-00 UIC1806-01-00,STA2102-04-00 QRM2004-01-00,ME ME,18.0,금,2,0,0,4,2+1+2+1
4035,10.258,MR,YCA1006-01-00,UIC1561-01-00 UIC1501-02-00 UIC2151-12-00 UIC1806-01-00,STA2102-04-00 QRM2004-01-00,ME ME,18.0,금,2,0,0,4,2+1+2+1
4036,10.258,WCiv,YCA1006-01-00,QRM1001-01-00 UIC1501-03-00 UIC2151-14-00 UIC1806-01-00,ECO1101-05-00 QRM2004-01-00,ECO1101 ME,18.0,금,1,1,1,4+6+5,1+1
4037,10.257,Lang,YCA1006-02-00,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 UIC2151-12-00,YCE1253-01-00 BIZ1101-09-00,FREE FREE,18.0,월금,1,0,1,,1+1+1
