rank,score,deferred,chapel,requirements,electives,elective_items,credits,free_days,early1,lunch_fail,dinner_fail,late,runs,holes
1825,134.682,SciRD,YCA1006-01-00,QRM1001-01-00 UIC1561-01-00 UIC1501-02-00 UIC1805-01-00,QRM2004-01-00 STA2102-05-00,ME ME,18.0,금,1,1,0,0,5,2+1+1
1826,134.66,SciRD,-,QRM1001-01-00 UIC1561-01-00 UIC1551-01-00 YCF1603-04-00,STA2102-05-00 STA1002-04-00,ME FREE,18.0,월금,0,0,0,2,6,1
1827,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1501-02-00 UIC2151-09-00 UIC1806-02-00,ECO1103-02-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1828,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1501-02-00 UIC2151-09-00 UIC1806-02-00,ECO1103-02-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1829,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1501-02-00 UIC2151-03-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1830,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-02-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1831,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-08-00 UIC1806-02-00,ECO1103-02-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1832,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-08-00 UIC1806-02-00,ECO1103-02-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1833,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1501-02-00 UIC2151-03-00 UIC1805-02-00,ECO1104-06-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1834,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-09-00 UIC1806-02-00,ECO1103-02-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
1835,134.645,MR,YCA1006-01-00,UIC1561-01-00 UIC1551-03-00 UIC2151-06-00 UIC1805-02-00,ECO1103-02-00 STA2102-05-00,ME ME,18.0,금,1,0,0,0,4,2+1+1+1
